appid,publisher_id
2707930,36206
1455840,41080
872200,17640
954850,31600
1343400,19772
535930,34385
701160,32763
1388880,35459
2475490,6506
1468260,18136
1797880,27578
312530,6476
1180380,24167
641990,39587
583950,42461
1049410,30675
655500,30607
1876890,37282
413420,37257
325610,34385
953490,10324
2273430,650
261030,36380
960170,27021
1235140,34385
553640,44352
427730,12706
2378900,21518
41700,14894
1337520,15502
339800,18156
460790,34385
2369390,41792
1501750,6416
394510,31100
475150,38924
1263850,34385
1056640,34385
1189490,7126
316010,44084
393420,4108
985810,20889
1222730,11960
39140,37393
1262580,11960
1211020,34093
1584090,48518
1584090,33478
99900,16466
238010,11876
2263010,24547
373420,22407
557340,10324
1282270,46492
2051620,14982
1902490,42461
274940,10452
1869590,28880
1106840,14077
324800,10324
2324650,34385
299740,12316
211500,20943
211500,32416
977400,8036
1171690,1620
250600,21820
333600,35367
2532550,36617
2532550,1523
230290,15740
571740,30367
260230,41792
585420,13719
1874880,5472
287290,6313
563560,32834
207140,47855
960990,32048
589290,2642
783770,44019
1809540,33066
314160,44472
1971870,43472
1509960,38879
247080,5678
247080,21575
578650,31600
447020,14789
1262350,18134
1262350,29724
245170,3465
774801,28213
368230,32763
794260,31566
736190,48759
236110,7496
1084600,30124
1084600,13927
1084600,29738
1084600,9198
47780,11960
584400,34385
1022450,15965
637090,30027
365360,29550
494840,31107
383150,10000
1240210,11075
517630,37393
1149620,9253
1149620,17379
1969870,44072
1989270,5047
1989270,35459
41070,10324
2280,4615
1124300,34385
202990,1298
202970,1298
450540,32378
332950,15958
48190,41792
208580,23590
208580,23593
208580,3196
1030830,267
427410,31157
400750,10530
474960,44472
409720,267
409720,13390
212500,37475
213176,37475
1284210,26998
248820,15502
384190,505
532210,37393
532210,13390
532210,13389
2504480,41996
213610,34385
332800,35163
1227890,20984
372000,18377
541570,31425
916440,41792
238090,32918
1127500,10588
903950,10827
903950,36635
2186680,29591
307950,12966
519860,27664
1476970,22482
71340,34385
19680,11960
9900,2801
1590320,5601
882100,267
15100,41792
1448440,20886
1448440,6362
3241660,47582
1583320,36413
42700,1298
42710,1298
1367080,4089
1549250,22126
1948980,29871
3240220,33834
1904540,34385
2641470,26590
837470,29941
475550,1707
531510,4590
304240,6313
2239150,16527
1291340,32763
1607250,4087
774181,609
774181,46582
1237320,34385
1241510,32643
2300320,15763
784150,17940
788100,39587
788100,42557
104900,9037
262410,28158
1262560,11960
1230140,980
392160,11869
1062520,20913
1549970,7928
1549970,13927
412830,37257
1252330,4616
8980,267
425580,13595
1931770,13927
1262540,11960
859580,30027
