appid,developer_id
1190000,40011
488790,50642
1859910,35076
459820,42132
2208920,50628
493490,17130
2161700,1159
204300,41189
40800,47837
1392820,34150
1371980,32302
640820,36041
2124490,6403
744900,10395
434570,5741
1284410,7739
1520470,60108
1966900,55823
337320,44893
485510,25466
975370,5190
1359090,29228
1359090,4190
740130,4997
322500,42055
653530,28769
668630,20343
420290,30508
1527950,43482
1782380,17770
1850570,25472
767560,29555
302830,34704
805550,26761
2212330,23376
47810,5905
1948280,44625
2707930,43932
1455840,49775
872200,16667
954850,23032
1343400,23759
535930,50371
701160,46359
701160,17761
701160,9544
1388880,47914
2475490,53482
1468260,21840
1797880,33688
312530,27293
1180380,29458
641990,48008
641990,32522
583950,51378
1049410,37364
655500,37275
1876890,48682
413420,45150
413420,1335
325610,7896
953490,37213
2273430,701
261030,48158
960170,33016
1235140,41581
553640,16150
427730,15617
2378900,26308
41700,18082
1337520,21634
339800,21865
460790,37775
2369390,50646
2369390,50628
2369390,50624
2369390,50643
2369390,50614
1501750,7803
394510,3740
475150,23171
475150,47133
1263850,45260
1056640,41715
1189490,8682
316010,45398
393420,5016
985810,25470
1222730,29499
39140,45310
1262580,19001
1211020,41363
1584090,58533
1584090,40579
99900,19886
238010,14540
2263010,29902
373420,27333
557340,12176
1282270,56095
2051620,11839
1902490,51378
274940,12834
1869590,35212
1106840,17144
324800,16977
2324650,41715
299740,15105
211500,25538
977400,9867
1171690,1840
250600,26645
333600,33000
2532550,57622
230290,19054
571740,36989
260230,50627
585420,16771
1874880,6670
287290,7693
563560,39832
207140,13409
960990,38903
589290,3302
783770,53191
1809540,40111
314160,31451
1971870,33696
1971870,38819
1509960,47087
247080,6893
578650,35104
447020,17985
1262350,57273
245170,21292
774801,34471
368230,34463
368230,27912
794260,34236
736190,58796
236110,9191
1084600,36673
47780,51931
584400,9125
584400,20927
584400,36334
1022450,19317
637090,20769
365360,35994
494840,12300
383150,48077
1240210,13594
517630,4303
1149620,11280
1969870,53249
1989270,6159
41070,10585
2280,56142
2280,34101
1124300,1023
202990,49941
202970,49941
450540,39271
332950,19310
48190,50628
208580,35104
208580,3974
1030830,20610
1030830,11024
427410,12282
400750,5042
400750,12930
474960,40328
409720,289
409720,287
409720,12857
409720,285
409720,6348
409720,16402
212500,45415
213176,45415
1284210,3582
248820,21634
384190,19076
532210,11251
532210,16402
532210,16401
2504480,50855
213610,41715
332800,42660
1227890,13222
372000,22130
541570,38207
916440,50625
238090,39934
1127500,13005
903950,13303
2186680,36041
307950,161
519860,12040
1476970,27444
71340,12661
19680,45125
9900,10652
1590320,6817
882100,16584
15100,50628
1448440,25466
3241660,57342
1583320,44173
42700,49941
42710,49941
1367080,4509
1549250,33476
1948980,58683
3240220,41034
1904540,45260
2641470,32534
837470,21733
475550,1974
531510,5624
304240,7693
2239150,19955
1291340,35840
1607250,7615
774181,651
1237320,44772
1241510,39603
2300320,19080
784150,411
788100,51488
104900,11057
262410,34415
1262560,10538
1230140,17507
1230140,59199
392160,14534
1062520,23849
1549970,9709
412830,29254
1252330,3659
8980,18751
425580,16638
1931770,41442
1262540,19001
859580,36547
57300,17415
609320,35292
1113560,45310
1113560,49811
699130,42104
1940340,40032
285920,36841
268050,47495
16900,6176
1432860,37588
274520,1406
283640,44010
2334730,39904
756800,10366
2000950,22850
2000950,5352
2000950,21318
2000950,39725
1388770,9956
2448970,31995
